Product Name,Reason
Envelopes 60LB Uncoated,Product name 'Envelopes 60LB Uncoated' did not match products in 'Envelopes'
Security Envelopes 60LB Uncoated,Product name 'Security Envelopes 60LB Uncoated' did not match products in 'Envelopes'
Envelopes 60lb (Self-Adhesive),Product name 'Envelopes 60lb (Self-Adhesive)' did not match products in 'Envelopes'
Notepads 60LB Uncoated (25 pages),Product name 'Notepads 60LB Uncoated (25 pages)' did not match products in 'Notepads'
Notepads 60LB Uncoated (50 pages),Product name 'Notepads 60LB Uncoated (50 pages)' did not match products in 'Notepads'
NCR Forms 20lb Uncoated,Product name 'NCR Forms 20lb Uncoated' did not match products in 'NCR Forms'
Letterheads 60LB Uncoated,Product name 'Letterheads 60LB Uncoated' did not match products in 'Letterhead'
H Stand ( for signs),Product name 'H Stand ( for signs)' did not match products in 'H Stands for Signs'
Display Board 24PT,Product name 'Display Board 24PT' did not match products in 'Display Board / POP'
Display Board 40PT,Product name 'Display Board 40PT' did not match products in 'Display Board / POP'
3mm Aluminum Signs,"DB error: invalid input syntax for type integer: ""Aluminum Signs""
LINE 4: ...LUES ('3mm Aluminum Signs', NULL, 'Large Format', 'Aluminum ...
                                                             ^
"
20pt Styrene,"DB error: invalid input syntax for type integer: ""Styrene Signs""
LINE 4: ...    VALUES ('20pt Styrene', NULL, 'Large Format', 'Styrene S...
                                                             ^
"
X-Frame Banners 13oz Matte Vinyl,Product name 'X-Frame Banners 13oz Matte Vinyl' did not match products in 'X-Frame Banners'
Window Perforated Vinyl,"DB error: invalid input syntax for type integer: ""Window Graphics""
LINE 4: ...('Window Perforated Vinyl', NULL, 'Large Format', 'Window Gr...
                                                             ^
"
4mm Foam Board,"DB error: invalid input syntax for type integer: ""Foam Board""
LINE 4: ...  VALUES ('4mm Foam Board', NULL, 'Large Format', 'Foam Boar...
                                                             ^
"
Banners 13oz Glossy Vinyl,Subcategory 'Vinyl Banners' not found
Banners 13oz Matte Vinyl,Subcategory 'Vinyl Banners' not found
Mesh Banner 8oz Polyester Mesh,Subcategory 'Vinyl Banners' not found
Floor Graphics,"DB error: invalid input syntax for type integer: ""Floor Graphics""
LINE 4: ...  VALUES ('Floor Graphics', NULL, 'Large Format', 'Floor Gra...
                                                             ^
"
Clings Transparent,Product name 'Clings Transparent' did not match products in 'Clings'
Clings Opaque,Product name 'Clings Opaque' did not match products in 'Clings'
A-Frame Signs 4mm Coroplast,Product name 'A-Frame Signs 4mm Coroplast' did not match products in 'A-Frame Signs'
Pull Up Banners 13oz Matte Vinyl Silverbase,Subcategory 'Pull Up Banners-' not found
Premium Pull Up Banners 13oz Matte Vinyl,Product name 'Premium Pull Up Banners 13oz Matte Vinyl' did not match products in 'Pull Up Banners'
Table Top Pull Up Banner 13 oz Matte Vinyl,Product name 'Table Top Pull Up Banner 13 oz Matte Vinyl' did not match products in 'Pull Up Banners'
Premium Wide Pull Up Banners 13 oz Matte Vinyl,Product name 'Premium Wide Pull Up Banners 13 oz Matte Vinyl' did not match products in 'Pull Up Banners'
Double Sided Pull Up Banners 13 oz Matte Vinyl,Product name 'Double Sided Pull Up Banners 13 oz Matte Vinyl' did not match products in 'Pull Up Banners'
Pull Up Banners 13oz Matte Vinyl Blackbase (31.5 x 78.75),Product name 'Pull Up Banners 13oz Matte Vinyl Blackbase (31.5 x 78.75)' did not match products in 'Pull Up Banners'
Removable Wall Decals 7 Mil,Product name 'Removable Wall Decals 7 Mil' did not match products in 'Wall Decals'
3mm Sintra,Subcategory 'Sintra/Rigid Board' not found
Canvas Roll,Product name 'Canvas Roll' did not match products in 'Canvas'
Presentation Folders 14PT + AQ,Subcategory 'Presentation Folders' not found
Presentation Folders 14PT + Matte Finish,Subcategory 'Presentation Folders' not found
Presentation Folders 14PT + UV (High Gloss),Subcategory 'Presentation Folders' not found
Presentation Folders Matte Laminated,Subcategory 'Presentation Folders' not found
Table Covers (6 ft Table),"DB error: invalid input syntax for type integer: ""Table Covers""
LINE 4: ...Table Covers (6 ft Table)', NULL, 'Large Format', 'Table Cov...
                                                             ^
"
Table Covers (8 ft Table),"DB error: invalid input syntax for type integer: ""Table Covers""
LINE 4: ...Table Covers (8 ft Table)', NULL, 'Large Format', 'Table Cov...
                                                             ^
"
Bookmark 14PT + UV,Subcategory 'Bookmarks' not found
Bookmark 14PT + Matte Finish,Subcategory 'Bookmarks' not found
Bookmark 18PT Matte / Silk Lamination,Subcategory 'Bookmarks' not found
Bookmark 18PT Gloss Lamination,Subcategory 'Bookmarks' not found
Bookmark 14pt Writable + UV (C1S),Subcategory 'Bookmarks' not found
Bookmark 13pt Enviro Uncoated,Subcategory 'Bookmarks' not found
Bookmark 16pt + UV,Subcategory 'Bookmarks' not found
Bookmark 16pt + Matte Finish,Subcategory 'Bookmarks' not found
Bookmark 13pt Linen Uncoated,Subcategory 'Bookmarks' not found
Bookmark 10PT + Matte Finish,Subcategory 'Bookmarks' not found
Bookmark 18pt Matte Lam + SPOT UV,Subcategory 'Bookmarks' not found
Pearl Paper Postcards,Subcategory 'Specialty Post Cards' not found
Kraft Paper Postcards,Subcategory 'Specialty Post Cards' not found
Metallic Foil Postcards,Subcategory 'Specialty Post Cards' not found
Durable Postcards,Subcategory 'Specialty Post Cards' not found
Postcards 14PT + AQ,Subcategory 'Postcards' not found
Postcards 14PT + UV,Subcategory 'Postcards' not found
Postcards 14PT + Matte Finish,Subcategory 'Postcards' not found
Postcards 18PT Matte / Silk Lamination,Subcategory 'Postcards' not found
Postcards 18PT Gloss Lamination,Subcategory 'Postcards' not found
Postcards 10PT + AQ,Subcategory 'Postcards' not found
Postcards 14pt Writable + AQ (C1S),Subcategory 'Postcards' not found
Postcards 14pt Writable + UV (C1S),Subcategory 'Postcards' not found
Postcards 13pt Enviro Uncoated,Subcategory 'Postcards' not found
