"id","sku","name","slugs (products)","canonical_uuid","Product (subcategory_id)","subcategory_id","name","slugs (subcategories)","canonical_uuid","Id (category)","name","slug","category_id","canonical_uuid","sort_order"
1,"businesscard_14pt_profit_maximizer","Business cards 14pt (Profit Maximizer)","standard-business-cards-1","bd5180e5-7390-4f37-839d-6ebe842fb218",1,1,"standard_business_cards","standard-business-cards-1",,"apparel","Apparel","apparel",8,"03099c06-b2d6-4816-aa6a-d2d4366ccc8d",8
2,"businesscard_14pt_aq","Business Cards 14pt + AQ ","business-cards-14pt-aq","7a4fe329-dccc-4a32-967b-dcc3833c8fff",1,2,"specialty_business-cards","specialty-business-cards-2",,"business-cards","Business Cards","business-cards",1,"1feaf462-d7ce-47a1-aef3-510c61479a50",1
7,"businesscard_14pt_uv_high_gloss","Business Cards 14pt + UV (High Gloss)","business-cards-14pt-uv-high-gloss","cebfa0db-fed6-4b5e-90b6-a10977ba0a66",1,3,"specialty_invitations","specialty-invitations-3",,"labels-and-packaging","Labels and Packaging","labels-and-packaging",2,"78a0507e-a5d8-407d-9918-d3781fd3b788",5
8,"businesscard_14pt_matte_satin_aq","Business cards 14pt + Matte Finish","business-cards-14pt-matte-finish","c4dfc5f6-c0d2-4897-8152-345e6cffe2e3",1,4,"standard_invitations","standard-invitations-4",,"large-format","Large Format","large-format",3,"934eeb48-d882-4cd9-85bf-91ca17a1325b",2
9,"businesscard_16pt_matte_silk_lamination","Business cards 18pt Matte / Silk Lamination","business-cards-18pt-matte-silk-lamination","b6bf3f44-45ec-48c7-86ba-0143209e4c81",1,5,"wall_calendars","wall-calendars-5",,"print-products","Print Products","print-products",4,"74859f69-56af-4cdf-ab45-46cebdcea3ba",3
10,"businesscard_16pt_gloss_lamination","Business cards 18pt Gloss Lamination","business-cards-18pt-gloss-lamination","fa7928a9-8e87-4e17-8336-13cd03e6461b",1,6,"cut_to_shape_magnets","cut-to-shape-magnets-6",,"promotional","Promotional","promotional",5,"ac118ccf-d443-468e-9246-5c0506c3d59c",6
11,"businesscard_14pt_writable _aq_c1s","Business cards 14pt Writable + AQ (C1S)","business-cards-14pt-writable-aq-c1s","07c3b797-ebf8-4870-b83b-b03e64d42e37",1,7,"standard_flyers","standard-flyers-7",,"sample-kits","Sample Kits","sample-kits",6,"54c0a36e-00a9-4137-80ef-3fa6c7247740",7
12,"businesscard_14pt_writable_uv_c1s","Business cards 14pt Writable + UV (C1S)","business-cards-14pt-writable-uv-c1s","8613de2b-be1b-497e-add4-2401dcd36826",1,8,"specialty_flyers","specialty-flyers-8",,"stationery","Stationery","stationery",7,"8dddea86-2851-4b4b-8bd5-31a1f8ab6bc0",4
13,"businesscard_13pt_enviro_uncoated","Business cards 13pt Enviro Uncoated","business-cards-13pt-enviro-uncoated","4500c7c3-ead6-441b-adda-a86e6955c8fb",2,9,"standard_greeting_cards","standard-greeting-cards-9",,,,,,,
15,"businesscard_16pt_aq","Business cards 16pt + AQ","business-cards-16pt-aq","bbf284a1-5b0b-4d8f-8cb6-ecc0cd00eb2a",1,10,"specialty_greeting_cards","specialty-greeting-cards-10",,,,,,,
16,"businesscard_16pt_uv","Business cards 16pt + UV","business-cards-16pt-uv","d0b1ab80-fff6-4a02-8fd5-101305b4e6f0",1,11,"standard_postcards","standard-postcards-11",,,,,,,
17,"businesscard_16pt_matte_satin_aq","Business cards 16pt + Matte Finish","business-cards-16pt-matte-finish","1de43c3a-da6a-4d2a-8461-ddf073d885fc",1,12,"specialty_postcards","specialty-postcards-12",,,,,,,
18,"postcards14pt_aq","Postcards 14PT + AQ","postcards-14pt-aq","cfbcdb6b-1ba6-49c6-b64b-8d22399b4858",11,13,"Postcard-addressed-postage-due","postcard-addressed-postage-due-13",,,,,,,
