id,name,sku,category
1,Business cards 14pt (Profit Maximizer),businesscard_14pt_profit_maximizer,Business Cards
2,Business Cards 14pt + AQ ,businesscard_14pt_aq,Business Cards
7,Business Cards 14pt + UV (High Gloss),businesscard_14pt_uv_high_gloss,Business Cards
8,Business cards 14pt + Matte Finish,businesscard_14pt_matte_satin_aq,Business Cards
9,Business cards 18pt Matte / Silk Lamination,businesscard_16pt_matte_silk_lamination,Business Cards
10,Business cards 18pt Gloss Lamination,businesscard_16pt_gloss_lamination,Business Cards
11,Business cards 14pt Writable + AQ (C1S),businesscard_14pt_writable _aq_c1s,Business Cards
12,Business cards 14pt Writable + UV (C1S),businesscard_14pt_writable_uv_c1s,Business Cards
13,Business cards 13pt Enviro Uncoated,businesscard_13pt_enviro_uncoated,Business Cards
15,Business cards 16pt + AQ,businesscard_16pt_aq,Business Cards
16,Business cards 16pt + UV,businesscard_16pt_uv,Business Cards
17,Business cards 16pt + Matte Finish,businesscard_16pt_matte_satin_aq,Business Cards
18,Postcards 14PT + AQ,postcards14pt_aq,Postcards
20,Postcards 14PT + UV,postcards14pt_uv,Postcards
23,Postcards 14PT + Matte Finish,postcards_14pt_matteaq,Postcards
24,Postcards 18PT Matte / Silk Lamination,postcards_16pt_mattelam,Postcards
25,Postcards 18PT Gloss Lamination,postcards_16pt_glosslam,Postcards
26,Postcards 10PT + AQ,postcards_10pt_aq,Postcards
27,Postcards 14pt Writable + AQ (C1S),postcards_14ptc1s_aq,Postcards
28,Postcards 14pt Writable + UV (C1S),postcards_14ptc1s_uv,Postcards
29,Postcards 13pt Enviro Uncoated,postcards_13pt_enviro,Postcards
30,Business cards 18pt Matte Lam + SPOT UV,businesscard_16pt_matte_lam_spot_uv,Specialty Business Cards
31,Business cards 13pt Linen Uncoated,businesscard_13pt_linen_uncoated,Business Cards
32,Postcards 16pt + AQ,postcards_16pt_aq,Postcards
33,Postcards 16pt + UV,postcards_16pt_uv,Postcards
34,Postcards 16pt + Matte Finish,postcards_16pt_matteaq,Postcards
35,Postcards 13pt Linen Uncoated,postcards_13pt_linen,Postcards
37,Flyers 100lb Gloss Text,flyers_100lb_gloss,Flyers
38,Flyers 100LB + UV (High Gloss),flyers_100lb_uv,Flyers
39,Flyers 100lb + Matte Finish,flyers_100lb_matteaq,Flyers
40,Flyers 80LB Enviro Uncoated,flyers_80lb_enviro,Flyers
41,Flyers 70LB Linen Uncoated,flyers_70lb_linen,Flyers
43,Brochures 100LB Gloss Text,brochures_100lb_gloss,Brochures
44,Brochures 100lb + UV (High Gloss),brochures_100lb_uv,Brochures
45,Brochures 100lb + Matte Finish,brochures_100lb_matteaq,Brochures
46,Brochures 80lb Enviro Uncoated,brochures_80lb_enviro,Brochures
48,Greeting Cards 14pt + AQ,greetingcards_14pt_aq,Greeting Cards
49,Greeting Cards 14pt + UV (High Gloss),greetingcards_14pt_uv,Greeting Cards
50,Greeting Cards 14pt + Matte Finish,greetingcards_14pt_matteaq,Greeting Cards
51,Greeting Cards 14pt Writable + AQ (C1S),greetingcards_14c1s_aq,Greeting Cards
52,Greeting Cards 14pt Writable + UV (C1S),greetingcards_14ptc1s_uv,Greeting Cards
53,Greeting Cards 13pt Enviro Uncoated,greetingcards_13pt_enviro,Greeting Cards
54,Booklets 80lb Gloss Text (8.5 x 5.5),booklets_80lb_85x55,Booklets
55,Booklets 80lb Gloss Text (8.5 x 11),booklets_80lb_85x11,Booklets
56,Booklets 100lb Gloss Text (8.5 x 5.5),booklets_100lb_85x55,Booklets
57,Booklets 100lb Gloss Text (8.5 x 11),booklets_100lb_85x11,Booklets
58,Presentation Folders 14PT + AQ,presentationfolders_14pt_aq,Presentation Folders
59,Presentation Folders 14PT + Matte Finish,presentationfolders_14pt_matteaq,Presentation Folders
60,Presentation Folders 14PT + UV (High Gloss),presentationfolders_14pt_uv,Presentation Folders
62,Magnets 14PT,magnets_14pt,Magnets
63,Wall Calendars 80LB Gloss Text,calendars_80lb,Wall Calendars
64,Wall Calendars 100LB Gloss Text,calendars_100lb,Wall Calendars
65,Posters 100LB Gloss Text,posters_100lb,Posters
66,Posters 100LB + Matte Finish,posters_100lb_matteaq,Posters
67,Posters 100LB + UV (High Gloss),posters_100lb_uv,Posters
68,Posters 80LB Enviro Uncoated,posters_80lb_enviro,Posters
69,Door Hangers 14PT + AQ,doorhangers_14pt_aq,Door Hangers
70,Door Hangers 14PT + UV (High Gloss),doorhangers_14pt_uv,Door Hangers
71,Door Hangers 14PT + Matte Finish,doorhangers_14pt_matteaq,Door Hangers
72,Door Hangers 13PT Enviro Uncoated,doorhangers_13pt_enviro,Door Hangers
75,Plastic 14PT,plastic_14pt,Plastics
77,Clings Transparent,clings_transparent,Clings
78,Clings Opaque,clings_opaque,Clings
