id,name,slug,category_id
1,standard_business_cards,standard-business-cards-1,business-cards
2,specialty_business-cards,specialty-business-cards-2,business-cards
3,specialty_invitations,specialty-invitations-3,print-products
4,standard_invitations,standard-invitations-4,print-products
5,wall_calendars,wall-calendars-5,print-products
6,cut_to_shape_magnets,cut-to-shape-magnets-6,print-products
7,standard_flyers,standard-flyers-7,print-products
8,specialty_flyers,specialty-flyers-8,print-products
9,standard_greeting_cards,standard-greeting-cards-9,print-products
10,specialty_greeting_cards,specialty-greeting-cards-10,print-products
11,standard_postcards,standard-postcards-11,print-products
12,specialty_postcards,specialty-postcards-12,print-products
13,Postcard-addressed-postage-due,postcard-addressed-postage-due-13,print-products
14,postcard-enveloped-and-addressed-postage-included,postcard-enveloped-and-addressed-postage-included-14,print-products
15,Unaddressed-postcard,unaddressed-postcard-15,print-products
16,standard_bookmark,standard-bookmark-16,print-products
17,specialty_bookmark,specialty-bookmark-17,print-products
18,Standard-rack-cards,standard-rack-cards-18,print-products
19,standard_tear_cards,standard-tear-cards-19,print-products
20,posters,posters-20,print-products
21,door_hangers,door-hangers-21,print-products
22,brochures,brochures-22,print-products
23,Brochure-enveloped-and-addressed-postage-due,brochure-enveloped-and-addressed-postage-due-23,print-products
24,Brochure-enveloped-and-addressed-postage-included,brochure-enveloped-and-addressed-postage-included-24,print-products
25,magnets,magnets-25,print-products
26,booklets,booklets-26,print-products
27,Digital-sheets,digital-sheets-27,print-products
28,variable_printing,variable-printing-28,print-products
29,presentation_folders,presentation-folders-29,print-products
30,Canvas,canvas-30,print-products
31,plastic,plastic-31,print-products
32,clings_transparent,clings-transparent-32,print-products
33,clings_opaque,clings-opaque-33,print-products
34,tent_cards,tent-cards-34,print-products
35,notepads_50_pages,notepads-50-pages-35,print-products
36,Notepads_25_pages,notepads-25-pages-36,print-products
37,number_tickets,number-tickets-37,print-products
50,banners,banners-50,print-products
51,pull_up_banners,pull-up-banners-51,large-format
52,x_frame_banners,x-frame-banners-52,large-format
53,4mm_foam_board,4mm-foam-board-53,large-format
54,a_frame_signs,a-frame-signs-54,large-format
55,Cut-to-shape-permanent-decals,cut-to-shape-permanent-decals-55,large-format
56,cut_shape_removable_decals,cut-shape-removable-decals-56,large-format
57,3mm-aluminum-signs_1,3mm-aluminum-signs-1-57,large-format
58,table_covers,table-covers-58,large-format
59,car-magnets-30mil_2,car-magnets-30mil-2-59,large-format
60,coroplast,coroplast-60,large-format
61,removable_wall_decals,removable-wall-decals-61,large-format
62,3mm-sintra,3mm-sintra-62,large-format
63,floor_graphics,floor-graphics-63,large-format
64,20pt_styrene,20pt-styrene-64,large-format
65,glossy_adhesive_vinyl,glossy-adhesive-vinyl-65,large-format
66,large-format-posters,large-format-posters-66,large-format
67,window_perforated_vinyl,window-perforated-vinyl-67,large-format
68,h_stands,h-stands-68,large-format
69,display_board_24pt,display-board-24pt-69,large-format
70,a_frame_stands,a-frame-stands-70,large-format
100,envelopes,envelopes-100,stationery
101,letterhead,letterhead-101,stationery
102,ncr_forms,ncr-forms-102,stationery
120,roll_labels,roll-labels-120,labels-and-packaging
121,packaging,packaging-121,labels-and-packaging
122,stickers,stickers-122,labels-and-packaging
128,4mm_foam_board,4mm-foam-board-128,large-format
130,promotional_main,promotional-main-130,promotional
150,sample_pack,sample-pack-150,sample-kits
151,apparel,apparel-151,9
