category_id,subcategory_id,name,image_name,image_url,cloudflare_image_id,image_found,cloudflare_image_url,matched_filename
1,1,standard_business_cards,business-cards-18pt-matte-silk-lamination_1.webp,,,no,,
4,3,specialty_invitations,metallic-foil-invitations_1.webp,,00b4ddf0-4fd6-4b24-e4e0-bbd128a73600,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/00b4ddf0-4fd6-4b24-e4e0-bbd128a73600/public,metallic-foil-invitations_1.webp
5,130,promotional_main,promo-group-1.png,,0102573e-1ef9-4252-6bd6-0d9300d06b00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/0102573e-1ef9-4252-6bd6-0d9300d06b00/public,promo-group-1.png
4,37,number_tickets,mesh-banner-8oz-polyester-mesh_2.webp,,,no,,
4,5,wall_calendars,wall-calendars-100lb-gloss-text_2.webp,,28750cd8-7d78-43cf-832c-0361c8628500,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/28750cd8-7d78-43cf-832c-0361c8628500/public,wall-calendars-100lb-gloss-text_2.webp
4,5,wall_calendars,wall-calendars-100lb-gloss-text_2.webp,,38bbb570-dfd9-4c83-a679-20d06d488d00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/38bbb570-dfd9-4c83-a679-20d06d488d00/public,wall-calendars-100lb-gloss-text_1.webp
7,101,letterhead,letterheads-60lb-uncoated_2.webp,,,no,,
4,6,cut_to_shape_magnets,cut-to-shape-magnets-30mil_2.webp,,,no,,
3,53,4mm_foam_board,4mm-foam-board_1.png,,,no,,
5,130,promotional_main,invitations-14pt-matte-finish_1.png,,,no,,
5,130,promotional_main,promo-group-2.png,,069fd024-4097-4b06-99e5-9656ec5fb600,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/069fd024-4097-4b06-99e5-9656ec5fb600/public,promo-group-2.png
4,50,number_tickets,banners-13oz-glossy-vinyl_1.webp,,,no,,
4,6,cut_to_shape_magnets,cut-to-shape-magnets-20mil_1.webp,,,no,,
4,7,standard_flyers,flyers-100lb-uv-high-gloss_1.webp,,,no,,
4,16,standard_bookmark,bookmark-13pt-enviro-uncoated_2.webp,,,no,,
1,2,specialty_business-cards,pearl-business-cards_1.webp,,08ac0896-7280-4043-0045-6ccf6738dc00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/08ac0896-7280-4043-0045-6ccf6738dc00/public,pearl-business-cards_1.webp
3,54,a_frame_signs,a-frame-signs-4mm-coroplast.jpg,,,no,,
4,17,specialty_bookmark,bookmark-18pt-matte-silk-lamination_1.webp,,,no,,
3,55,cut-to-shape-permanent-decals_1.webp,cut-to-shape-permanent-decals_1.webp,,,no,,
1,1,standard_business_cards,business-cards-14pt-profit-maximizer_1.webp,,,no,,
4,11,standard_postcards,postcards-14pt-aq_1.webp,,0d69f118-83b2-4ee4-9d13-c6191c09f900,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/0d69f118-83b2-4ee4-9d13-c6191c09f900/public,postcards-14pt-aq_1.webp
1,1,standard_business_cards,business-cards-14pt-writable-uv-c1s_1.webp,,,no,,
7,100,envelopes,envelopes-60lb-self-adhesive_1.webp,,,no,,
4,10,specialty_greeting_cards,spot-uv-greeting-cards_1.png,,887ba93e-5783-49c5-4ac1-36ccfb880100,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/887ba93e-5783-49c5-4ac1-36ccfb880100/public,spot-uv-greeting-cards_1.png
5,130,promotional_main,promo-group-3.webp,,0fb1e21b-a3ad-4b1a-dcda-431ff3d46a00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/0fb1e21b-a3ad-4b1a-dcda-431ff3d46a00/public,promo-group-3.webp
7,100,envelopes,security-envelopes-60lb-uncoated_1.webp,,6e1b979f-025d-4d18-da2d-05c73f4ec100,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/6e1b979f-025d-4d18-da2d-05c73f4ec100/public,security-envelopes-60lb-uncoated_1.webp
4,18,Standard-rack-cards,standard-rack-cards_1.png,,100fce98-2272-456a-5e3b-699113cd8e00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/100fce98-2272-456a-5e3b-699113cd8e00/public,standard-rack-cards_1.png
1,1,standard_business_cards,business-cards-16pt-aq_1.webp,,,no,,
3,51,pull_up_banners,pull-up-banners-13oz-matte-vinyl-silverbase_1.png,,baa9c8ee-47dc-4076-1945-f8915cbf9600,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/baa9c8ee-47dc-4076-1945-f8915cbf9600/public,pull-up-banners-13oz-matte-vinyl-silverbase_1.png
4,20,posters,posters-100lb-matte-finish_2.webp,,125382a4-e37c-42fb-ed8f-300b29a27c00,yes,https://imagedelivery.net/pJ0fKvjCAbyoF8aD0BGu8Q/125382a4-e37c-42fb-ed8f-300b29a27c00/public,posters-100lb-matte-finish_2.webp
